order_detail_id,order_id,product_id,quantity
1,6550,287,1
2,7324,1035,1
3,11952,325,1
4,8938,114,1
5,4238,61,1
6,14235,1404,1
7,10944,145,1
8,11075,1497,1
9,13842,835,1
10,1126,1113,1
11,9699,597,1
12,3682,161,1
13,8310,395,1
14,6084,1113,1
15,3161,153,1
16,57,129,1
17,10706,1511,1
18,11179,454,1
19,9585,595,1
20,7661,657,1
21,1860,187,1
22,9492,1785,1
23,10454,1035,1
24,2853,1863,1
25,51,1963,1
26,8481,1219,1
27,11997,258,1
28,6792,781,1
29,8684,1935,1
30,12854,113,1
31,7249,581,1
32,9279,1811,1
33,6558,1337,1
34,5292,64,1
35,7221,158,1
36,8357,419,1
37,14041,196,1
38,4657,707,1
39,100,364,1
40,1802,869,1
41,7789,1295,1
42,3325,1585,1
43,2843,1047,1
44,6400,1814,1
45,11500,1387,1
46,6897,837,1
47,12382,1831,1
48,9976,687,1
49,1809,1637,1
50,5957,53,1
51,8450,481,1
52,14945,1054,1
53,6813,69,1
54,12604,1969,1
55,1022,1969,1
56,8662,179,1
57,14583,1754,1
58,5606,397,1
59,6255,1195,1
60,14711,112,1
61,9825,369,1
62,10666,997,1
63,14204,1185,1
64,4433,1107,1
65,4050,1062,1
66,99,273,1
67,8827,531,1
68,7711,735,1
69,1036,614,1
70,7864,1381,1
71,2235,1731,1
72,12274,557,1
73,12288,454,1
74,9367,647,1
75,4712,1913,1
76,9791,1331,1
77,1424,748,1
78,7265,179,1
79,12572,514,1
80,1248,1445,1
81,8986,1757,1
82,9748,207,1
83,13222,1104,1
84,11479,1412,1
85,1220,1312,1
86,3619,125,1
87,9813,1464,1
88,14800,879,1
89,12770,275,1
90,11725,804,1
91,14675,987,1
92,13133,1214,1
93,358,198,1
94,2244,819,1
95,9399,1787,1
96,12581,1181,1
97,8097,156,1
98,12011,819,1
99,12422,123,1
100,1504,362,1
101,12747,1485,1
102,8445,1847,1
103,2111,1713,1
104,163,54,1
105,4385,1457,1
106,2233,519,1
107,6485,1247,1
108,10186,319,1
109,3986,1263,1
110,11881,1707,1
111,4822,295,1
112,399,1257,1
113,7464,354,1
114,4310,707,1
115,6345,631,1
116,14853,1079,1
117,5053,719,1
118,8658,411,1
119,14941,1185,1
120,11852,495,1
121,6719,454,1
122,8836,1679,1
123,1442,1981,1
124,110,707,1
125,7440,1554,1
126,10364,919,1
127,805,935,1
128,10816,257,1
129,12195,1819,1
130,25,175,1
131,7022,1295,1
132,11203,273,1
133,10404,1362,1
134,12598,198,1
135,14612,1004,1
136,8811,473,1
137,11165,1495,1
138,8843,1104,1
139,13540,463,1
140,1519,279,1
141,11963,295,1
142,9297,314,1
143,4795,6,1
144,2743,1413,1
145,758,1845,1
146,619,45,1
147,1895,457,1
148,1863,661,1
149,1971,407,1
150,14965,353,1
151,13203,106,1
152,3237,1035,1
153,4317,1904,1
154,6200,1897,1
155,2060,1414,1
156,5192,1347,1
157,2456,904,1
158,9613,1419,1
159,4936,7,1
160,9314,1669,1
161,3024,1569,1
162,11719,1595,1
163,4994,435,1
164,3118,1407,1
165,12642,397,1
166,4403,1064,1
167,11452,661,1
168,13117,854,1
169,14701,296,1
170,4496,1531,1
171,801,1469,1
172,12529,261,1
173,13304,213,1
174,10920,203,1
175,14837,1657,1
176,5482,159,1
177,6076,963,1
178,12167,396,1
179,8749,147,1
180,12848,954,1
181,6606,1645,1
182,1341,53,1
183,9355,1981,1
184,3934,1411,1
185,12220,1337,1
186,5135,864,1
187,5962,1931,1
188,6520,253,1
189,8385,1707,1
190,7319,409,1
191,14502,1145,1
192,14058,473,1
193,10023,604,1
194,11820,37,1
195,4599,1304,1
196,6660,1511,1
197,5814,1887,1
198,13995,307,1
199,2339,1014,1
200,327,1013,1
201,3134,769,1
202,2034,1197,1
203,7228,11,1
204,3777,1729,1
205,14350,1512,1
206,5177,1662,1
207,7399,1529,1
208,2311,635,1
209,3801,963,1
210,3794,495,1
211,2973,897,1
212,7615,1437,1
213,11586,1754,1
214,5848,529,1
215,1204,1129,1
216,10284,213,1
217,10102,757,1
218,9614,669,1
219,11784,1962,1
220,7853,306,1
221,11068,125,1
222,962,1004,1
223,8727,737,1
224,12243,797,1
225,8707,1337,1
226,10390,1437,1
227,7732,1287,1
228,12466,225,1
229,12853,1963,1
230,1046,1313,1
231,11460,519,1
232,13993,835,1
233,401,54,1
234,6250,435,1
235,12533,1829,1
236,14385,261,1
237,8898,223,1
238,14755,296,1
239,3546,1429,1
240,14238,1079,1
241,2076,698,1
242,13783,1397,1
243,14096,1961,1
244,12609,1061,1
245,1648,1904,1
246,3217,1587,1
247,3796,557,1
248,2878,319,1
249,4772,1935,1
250,2636,1357,1
251,3138,1081,1
252,5540,985,1
253,11682,1037,1
254,196,663,1
255,13610,981,1
256,13368,761,1
257,5270,797,1
258,4968,1164,1
259,12931,604,1
260,11284,131,1
261,10978,361,1
262,6530,857,1
263,3441,1904,1
264,2509,598,1
265,13925,354,1
266,12693,1854,1
267,775,1219,1
268,11067,1262,1
269,4023,208,1
270,2819,1687,1
271,12087,811,1
272,4459,495,1
273,7489,419,1
274,6230,1997,1
275,10439,1895,1
276,8875,1904,1
277,7715,657,1
278,408,797,1
279,7473,1007,1
280,641,45,1
281,550,697,1
282,13534,1857,1
283,14375,408,1
284,6020,985,1
285,4237,457,1
286,608,253,1
287,7024,1781,1
288,12907,562,1
289,14560,25,1
290,12057,153,1
291,11833,995,1
292,9730,296,1
293,2682,106,1
294,5937,107,1
295,12421,1797,1
296,648,1707,1
297,13064,1831,1
298,5466,45,1
299,9030,1597,1
300,14582,109,1
301,9878,1863,1
302,7219,731,1
303,14060,1914,1
304,2245,845,1
305,2858,1945,1
306,11046,1785,1
307,4476,1295,1
308,11787,1245,1
309,8100,1357,1
310,4957,1913,1
311,2533,498,1
312,2422,1004,1
313,1727,523,1
314,13492,523,1
315,7752,1662,1
316,9990,1157,1
317,11241,954,1
318,6967,606,1
319,12372,404,1
320,4522,363,1
321,4789,175,1
322,12321,606,1
323,491,64,1
324,3175,1357,1
325,9088,1464,1
326,9099,785,1
327,10917,719,1
328,7372,707,1
329,976,913,1
330,2232,857,1
331,10234,1913,1
332,12045,919,1
333,8177,1779,1
334,1891,435,1
335,6448,1262,1
336,9886,69,1
337,14622,548,1
338,9173,1714,1
339,6536,697,1
340,1992,1447,1
341,14775,1737,1
342,9243,396,1
343,14441,947,1
344,9139,1162,1
345,10215,885,1
346,3970,23,1
347,12118,1969,1
348,3086,561,1
349,9807,1931,1
350,640,475,1
351,4299,1369,1
352,14091,407,1
353,12375,1763,1
354,235,1119,1
355,10757,1307,1
356,8937,369,1
357,2053,1195,1
358,12679,1981,1
359,8027,1812,1
360,12059,263,1
361,6231,214,1
362,9454,454,1
363,7171,137,1
364,12622,387,1
365,10745,829,1
366,12212,356,1
367,1701,8,1
368,5448,929,1
369,11402,473,1
370,9780,957,1
371,5966,408,1
372,1465,425,1
373,13764,1863,1
374,4113,529,1
375,1076,669,1
376,13704,864,1
377,12259,895,1
378,13488,1207,1
379,14888,1219,1
380,10280,1337,1
381,3504,1013,1
382,14893,306,1
383,3247,198,1
384,7648,1862,1
385,13974,1597,1
386,10848,297,1
387,3480,137,1
388,11778,1445,1
389,9988,1864,1
390,13767,747,1
391,3168,161,1
392,8301,1857,1
393,5513,1887,1
394,9783,1919,1
395,6077,179,1
396,3667,304,1
397,5238,211,1
398,1127,1931,1
399,14292,4,1
400,10081,1707,1
401,1409,895,1
402,991,713,1
403,8800,507,1
404,4112,87,1
405,5054,748,1
406,7141,53,1
407,6240,957,1
408,73,1645,1
409,7019,1764,1
410,39,1987,1
411,7301,748,1
412,5868,479,1
413,1686,1697,1
414,2041,158,1
415,7449,14,1
416,7373,935,1
417,2398,531,1
418,6002,1464,1
419,814,1107,1
420,10990,145,1
421,9179,935,1
422,13881,487,1
423,47,754,1
424,14412,1997,1
425,11071,1111,1
426,1684,1145,1
427,14528,498,1
428,3355,1954,1
429,11170,1537,1
430,5915,381,1
431,275,1007,1
432,11960,1564,1
433,6205,854,1
434,14804,156,1
435,8,737,1
436,8386,198,1
437,11955,745,1
438,8883,254,1
439,10438,1047,1
440,547,1787,1
441,7619,1547,1
442,500,48,1
443,3594,1297,1
444,9181,1011,1
445,7198,1479,1
446,13887,1364,1
447,7023,1781,1
448,5660,719,1
449,10720,1847,1
450,13674,454,1
451,4014,1604,1
452,7374,854,1
453,4188,1269,1
454,7258,64,1
455,2536,648,1
456,14687,1079,1
457,14319,754,1
458,14267,1513,1
459,6751,73,1
460,12054,87,1
461,3404,609,1
462,9465,204,1
463,3029,935,1
464,5129,807,1
465,798,1563,1
466,6325,985,1
467,2074,1114,1
468,13526,581,1
469,13160,648,1
470,8273,1263,1
471,5226,1062,1
472,8478,54,1
473,10182,713,1
474,14427,1231,1
475,1732,1529,1
476,6497,1829,1
477,6168,1211,1
478,1595,647,1
479,1660,1037,1
480,6204,63,1
481,2857,1014,1
482,195,109,1
483,2418,1045,1
484,9773,1119,1
485,5083,1819,1
486,9705,769,1
487,7605,837,1
488,10406,1004,1
489,2942,414,1
490,6232,163,1
491,6595,662,1
492,6486,914,1
493,12462,397,1
494,10029,754,1
495,10205,1487,1
496,9312,1863,1
497,7815,981,1
498,9342,1414,1
499,13237,1862,1
500,8880,1161,1
501,1019,398,1
502,7299,1937,1
503,1520,1979,1
504,246,162,1
505,5189,1113,1
506,11257,1313,1
507,14187,37,1
508,5854,1912,1
509,5029,437,1
510,8809,754,1
511,2410,1829,1
512,8656,1854,1
513,414,504,1
514,11589,108,1
515,483,1564,1
516,8627,156,1
517,2698,411,1
518,1417,1395,1
519,3529,545,1
520,10217,329,1
521,1401,245,1
522,4122,735,1
523,14780,1995,1
524,14491,319,1
525,9960,1113,1
526,13030,863,1
527,14323,254,1
528,932,609,1
529,8458,346,1
530,8344,1314,1
531,7823,1714,1
532,8393,1229,1
533,7983,1064,1
534,7984,1269,1
535,3478,295,1
536,3485,473,1
537,2620,1662,1
538,1683,1861,1
539,5093,897,1
540,404,907,1
541,12452,1981,1
542,3717,307,1
543,10250,198,1
544,4970,235,1
545,4581,661,1
546,1286,247,1
547,1529,1897,1
548,8635,904,1
549,13791,297,1
550,3985,1695,1
551,4915,531,1
552,10082,153,1
553,8322,1085,1
554,7323,529,1
555,11435,556,1
556,4762,306,1
