order_id,order_date,customer_id,total_price
7324,11/27/2023,2160,955.86
8938,8/31/2024,8497,984.91
4238,12/5/2023,6295,649.18
10944,2/22/2024,2936,54.83
11075,8/14/2024,2994,320.24
13842,5/20/2024,5953,555.05
1126,11/17/2023,4825,308.21
8310,8/9/2024,7873,957.72
6084,8/23/2024,5627,934.52
3161,11/1/2024,2086,488.16
57,5/26/2024,975,388.08
11179,2/6/2024,7024,24.32
1860,9/30/2024,4276,42.33
9492,9/27/2024,4374,43.54
2853,3/29/2024,1888,44.45
51,5/16/2024,3177,735.84
11997,4/25/2024,5410,620.96
6792,5/21/2024,7971,812.89
9279,4/26/2024,995,241.51
5292,8/3/2024,1259,123.95
8357,11/5/2023,4733,206.41
14041,5/10/2024,7404,459.13
4657,7/25/2024,9938,423.73
100,1/11/2024,3089,111.23
1802,8/31/2024,9808,677.87
7789,12/3/2023,8797,465.42
3325,9/4/2024,4478,475.69
2843,12/26/2023,6169,432.37
11500,9/15/2024,7978,675.62
6897,7/12/2024,6618,516.94
12382,8/29/2024,830,758.96
9976,10/20/2024,4348,148.35
5957,12/30/2023,8681,693.67
8450,6/18/2024,3575,721.84
14945,6/14/2024,9522,954.23
6813,9/6/2024,4759,913.78
12604,10/23/2024,7420,507.4
1022,6/7/2024,7073,766.87
5606,6/22/2024,3811,314.02
14711,12/26/2023,275,394.39
9825,10/19/2024,3495,630.44
10666,3/11/2024,7865,386.69
14204,5/1/2024,5856,405.54
4433,8/1/2024,441,127.98
99,7/9/2024,7243,826.56
8827,10/4/2024,8235,422.47
1036,7/31/2024,544,854.47
12274,8/18/2024,2535,730.52
12288,12/5/2023,1688,612.09
4712,3/30/2024,1911,850.01
9791,9/10/2024,1203,867.92
1424,3/5/2024,4552,52.13
12572,12/24/2023,8606,762.91
8986,6/6/2024,7,354.92
13222,9/30/2024,57,871.23
3619,8/19/2024,389,54.56
9813,10/18/2024,6341,51.47
12770,6/6/2024,8537,456.7
13133,2/16/2024,6805,912.58
358,5/23/2024,2000,189.93
2244,5/19/2024,9513,654.15
8097,10/18/2024,5140,935.29
12011,12/26/2023,7178,836.12
1504,9/29/2024,9952,695.96
12747,6/14/2024,7160,274.48
8445,12/12/2023,9141,58.58
2111,11/10/2023,5048,463.7
4385,9/11/2024,4432,564.88
2233,11/19/2023,1341,366.11
3986,12/10/2023,9001,791.36
11881,1/25/2024,3860,331.96
7464,5/1/2024,2761,623.7
4310,4/24/2024,7667,554.63
6345,7/19/2024,9492,126.97
14941,1/19/2024,4223,405.58
1442,10/31/2024,310,597.64
110,3/26/2024,1052,439.18
7440,3/14/2024,8138,170.56
805,5/15/2024,8036,902.78
10816,8/6/2024,6084,213.19
12195,6/20/2024,2995,108.56
7022,10/4/2024,998,921.78
10404,3/6/2024,5356,283.22
12598,8/31/2024,4258,67.79
14612,11/3/2024,8720,785.89
8811,5/27/2024,1097,326.87
8843,5/16/2024,8400,751.15
13540,5/17/2024,9881,625.83
1519,12/5/2023,9821,991.71
11963,6/1/2024,5470,20.95
4795,11/19/2023,3559,419.09
1863,5/26/2024,5094,690.08
1971,7/10/2024,5853,855.64
14965,12/1/2023,2213,668.39
4317,4/14/2024,6220,750.78
5192,3/13/2024,1300,390.76
2456,9/28/2024,5090,595.68
4936,4/25/2024,8686,672.59
9314,2/21/2024,9893,210.36
3024,8/7/2024,8657,828.39
3118,5/28/2024,4393,92.9
4403,1/20/2024,6152,307.27
4496,1/6/2024,1376,735.08
12529,12/20/2023,4795,33.26
13304,2/7/2024,5944,487.73
14837,8/20/2024,3253,928.09
5482,11/14/2023,3546,685.78
12167,8/8/2024,8823,228.54
12848,11/14/2023,5591,944.88
6606,4/15/2024,8536,386.82
9355,12/24/2023,9995,166.22
5135,11/20/2023,6566,464.03
7319,9/30/2024,1917,748.08
14058,4/5/2024,9851,974.41
4599,7/9/2024,6552,791.07
5814,1/25/2024,623,458.23
13995,4/1/2024,9198,110.03
2339,3/22/2024,9564,879.59
327,2/8/2024,2286,622.32
3134,9/3/2024,1654,971.61
7228,1/15/2024,3086,723.82
14350,4/3/2024,9389,139.79
5177,1/28/2024,3480,873.1
7399,7/31/2024,5426,35.16
2311,9/8/2024,3405,644.95
3794,6/4/2024,1047,793.91
2973,4/5/2024,9587,439.5
5848,7/8/2024,1312,710.99
10284,10/9/2024,1889,845.49
10102,10/18/2024,4846,714.15
9614,12/28/2023,9646,938.34
7853,3/28/2024,8814,80.33
11068,3/4/2024,2748,871.94
8727,11/30/2023,6452,458.62
8707,2/29/2024,7902,714.42
10390,9/3/2024,2530,583.19
12466,8/14/2024,625,724.06
1046,4/12/2024,6827,871.1
11460,12/28/2023,9681,999.24
13993,11/9/2023,4685,227.35
401,8/13/2024,1226,345.94
14755,2/6/2024,1386,544.75
14238,6/28/2024,4800,700.24
13783,6/3/2024,2604,922.57
1648,2/15/2024,4080,415.32
3217,11/1/2024,9197,248.61
3796,7/29/2024,9484,920.86
2878,1/16/2024,9008,510.55
4772,11/9/2023,4345,96.3
2636,9/14/2024,8097,947.89
3138,12/17/2023,9626,853.41
5540,3/8/2024,4134,596.82
196,2/18/2024,3484,950.76
13368,2/1/2024,549,845.5
4968,2/16/2024,2784,792.98
12931,12/10/2023,9385,253.91
6530,9/5/2024,2298,963.12
3441,8/31/2024,3565,999.09
2819,5/22/2024,1476,770.54
12087,3/26/2024,1273,833.01
4459,11/2/2024,9260,413.03
7489,11/6/2023,1428,566.34
6230,3/1/2024,1193,107.5
10439,12/11/2023,6574,985.22
7715,4/19/2024,4591,921.14
408,12/26/2023,5481,251.99
641,10/13/2024,5270,997.77
550,12/31/2023,376,117.62
13534,1/26/2024,5279,653.17
14375,6/9/2024,8727,344.09
6020,12/30/2023,1029,119.67
4237,11/8/2023,2424,63.74
12907,11/27/2023,4474,906.97
14560,4/3/2024,6675,35.74
12057,11/23/2023,3026,77.34
9730,4/14/2024,2362,955.23
648,4/12/2024,7533,771.42
5466,6/8/2024,3161,491.31
9030,11/23/2023,6564,757.68
14582,11/6/2023,8414,983.83
2245,8/3/2024,6132,944.53
2858,6/18/2024,2489,293.67
11046,6/17/2024,7630,841.68
8100,3/6/2024,7862,669.31
4957,7/8/2024,5013,276.72
2533,3/10/2024,947,790.14
1727,3/23/2024,4886,629.47
