shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
1,1,10/13/2024,UPS,TRK344284,10/14/2024,Pending
2,2,8/27/2024,DHL,TRK718398,8/28/2024,Delivered
3,3,5/23/2024,FedEx,TRK161368,5/31/2024,Pending
4,4,6/6/2024,UPS,TRK890181,6/10/2024,Pending
5,5,11/3/2024,DHL,TRK681341,11/8/2024,Delivered
6,6,5/3/2024,FedEx,TRK076623,5/7/2024,Pending
7,7,12/28/2023,UPS,TRK767199,12/30/2023,Delivered
8,8,11/14/2023,DHL,TRK930895,11/16/2023,Delivered
9,9,10/25/2024,FedEx,TRK502345,11/1/2024,Delivered
10,10,6/9/2024,UPS,TRK169754,6/14/2024,Shipped
11,11,9/6/2024,DHL,TRK855233,9/11/2024,Shipped
12,12,4/11/2024,FedEx,TRK974542,4/13/2024,Pending
13,13,8/8/2024,UPS,TRK591371,8/12/2024,Delivered
14,14,10/23/2024,DHL,TRK379731,10/26/2024,Delivered
15,15,6/21/2024,FedEx,TRK043919,6/29/2024,Delivered
16,16,5/4/2024,UPS,TRK936117,5/10/2024,Delivered
17,17,8/11/2024,DHL,TRK566646,8/13/2024,Pending
18,18,6/24/2024,FedEx,TRK650383,7/1/2024,Delivered
19,19,9/4/2024,UPS,TRK551506,9/9/2024,Shipped
20,20,1/5/2024,DHL,TRK460663,1/12/2024,Delivered
21,21,10/18/2024,FedEx,TRK948321,10/22/2024,Delivered
22,22,12/9/2023,UPS,TRK749106,12/13/2023,Delivered
23,23,12/16/2023,DHL,TRK292444,12/20/2023,Shipped
24,24,7/7/2024,FedEx,TRK461401,7/10/2024,Pending
25,25,6/6/2024,UPS,TRK282598,6/12/2024,Pending
26,26,7/8/2024,DHL,TRK357860,7/14/2024,Delivered
27,27,7/12/2024,FedEx,TRK817455,7/17/2024,Cancelled
28,28,12/15/2023,UPS,TRK426322,12/16/2023,Pending
29,29,5/2/2024,DHL,TRK001293,5/8/2024,Pending
30,30,8/1/2024,FedEx,TRK667394,8/6/2024,Shipped
31,31,3/19/2024,UPS,TRK062304,3/22/2024,Pending
32,32,8/8/2024,DHL,TRK192963,8/13/2024,Pending
33,33,8/24/2024,FedEx,TRK801770,8/27/2024,Shipped
34,34,2/10/2024,UPS,TRK056656,2/16/2024,Shipped
35,35,4/4/2024,DHL,TRK286552,4/8/2024,Delivered
36,36,3/26/2024,FedEx,TRK929875,3/27/2024,Shipped
